Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
kepulauan bangka belitung - bangka selatan,6,0.60,3.69,28.79,0.13,20.25,7.29,5.47,68.35,19.40,83.38,60,
kepulauan bangka belitung - bangka tengah,3,5.00,5.13,18.08,0.00,23.80,7.57,2.81,71.52,20.00,57.97,354,
kepulauan bangka belitung - bangka barat,5,2.11,2.75,17.18,0.42,29.47,8.18,3.26,70.08,23.50,75.05,221,
kepulauan bangka belitung - belitung timur,4,4.95,7.20,12.76,0.47,10.58,8.77,3.93,72.10,22.60,60.50,341,
kepulauan bangka belitung - kota pangkalpinang,6,0.00,4.76,5.07,0.00,6.29,10.25,0.07,73.41,16.70,83.25,21,
kepulauan riau - bintan,3,5.00,6.42,10.47,0.79,28.80,9.04,1.42,70.46,20.00,57.68,358,
kepulauan riau - karimun,3,5.00,6.85,13.93,0.51,20.13,8.38,0.85,71.11,17.60,58.76,350,
kepulauan riau - natuna,3,5.00,4.95,8.23,0.74,18.66,9.13,2.72,65.31,17.80,57.86,356,
kepulauan riau - lingga,3,3.57,13.93,23.55,3.44,20.93,7.72,3.78,62.39,25.40,58.43,351,
kepulauan riau - kepulauan anambas,3,5.00,7.09,8.63,0.17,36.05,7.51,1.13,67.36,21.70,54.19,367,
kepulauan riau - kota batam,6,0.00,5.05,4.91,0.03,1.19,11.21,0.22,73.36,17.50,85.23,9,
kepulauan riau - kota tanjungpinang,6,0.00,9.57,5.14,0.00,12.61,10.10,0.10,72.18,18.80,74.67,55,
dki jakarta - kepulauan seribu,3,5.00,15.06,55.79,0.00,0.48,8.87,0.05,68.99,19.30,54.18,368,
dki jakarta - jakarta pusat,6,0.00,4.94,13.45,0.00,1.65,11.27,0.00,74.19,19.70,83.56,20,
dki jakarta - jakarta utara,6,0.00,7.24,20.37,0.00,0.62,10.53,0.02,73.35,20.40,77.15,48,
dki jakarta - jakarta barat,6,0.00,4.31,8.52,0.00,2.20,10.62,0.01,73.69,17.60,84.67,11,
dki jakarta - jakarta selatan,6,0.00,3.56,6.58,0.00,10.91,11.37,0.01,74.20,15.70,85.38,7,
dki jakarta - jakarta timur,6,0.00,4.28,11.02,0.00,8.69,11.29,0.01,74.54,13.40,84.56,14,
jawa barat - bogor,5,2.87,8.13,25.27,0.13,25.75,8.48,0.29,71.36,28.60,68.61,297,
jawa barat - sukabumi,6,0.78,7.70,41.01,0.00,43.46,7.39,0.94,71.21,24.20,77.29,190,
jawa barat - cianjur,6,0.67,11.18,45.06,0.29,36.30,7.02,0.93,70.32,33.70,75.82,213,
jawa barat - bandung,6,1.49,7.15,29.52,0.00,12.19,9.26,0.35,73.72,31.10,80.33,126,
jawa barat - garut,5,0.49,10.65,58.49,0.11,51.46,7.66,0.61,71.59,35.20,74.49,231,
jawa barat - tasikmalaya,6,0.69,11.15,45.19,0.13,42.14,7.83,0.99,69.67,24.40,75.88,208,
jawa barat - ciamis,6,0.62,7.97,41.05,0.11,24.76,8.07,0.60,72.02,16.00,82.54,82,
jawa barat - kuningan,6,0.62,13.10,44.70,0.00,28.30,8.00,0.39,73.78,18.70,80.24,130,
jawa barat - cirebon,6,0.89,12.30,32.81,0.00,21.56,7.56,0.18,72.18,26.50,79.20,153,
jawa barat - majalengka,6,0.41,12.33,46.16,0.07,28.67,7.46,0.44,70.46,23.00,79.44,147,
jawa barat - sumedang,6,0.54,10.71,37.37,0.00,18.88,8.52,0.55,72.62,22.00,83.12,71,
jawa barat - indramayu,6,0.26,13.04,44.05,0.00,7.60,6.94,0.62,71.84,14.40,84.64,41,
jawa barat - subang,6,0.30,10.03,31.62,0.05,28.61,7.19,0.60,72.58,18.10,83.52,59,
jawa barat - purwakarta,6,1.03,8.83,24.92,0.00,34.91,8.08,0.28,71.18,20.60,78.75,162,
jawa barat - karawang,6,0.36,8.95,24.47,0.32,15.01,7.54,0.25,72.33,20.60,86.03,24,
jawa barat - bekasi,6,0.98,5.21,22.54,0.04,10.31,9.40,0.14,73.81,21.50,86.15,22,
jawa barat - bandung barat,5,1.81,11.30,48.45,0.00,28.97,8.04,0.50,72.52,29.60,71.59,267,
jawa barat - pangandaran,6,0.53,9.65,37.13,0.00,29.53,7.94,1.00,71.60,22.70,81.12,107,
jawa barat - kota bogor,6,0.00,7.24,14.51,0.00,13.90,10.65,0.02,73.82,16.90,76.38,50,
jawa barat - kota sukabumi,5,0.00,8.25,21.35,0.00,18.88,10.10,0.02,72.58,19.10,68.96,77,
jawa barat - kota bandung,6,0.00,4.37,15.65,0.07,6.15,11.19,0.01,74.46,26.40,80.23,34,
jawa barat - kota cirebon,5,0.00,10.03,18.98,0.00,4.01,10.25,0.01,72.44,30.60,70.28,71,
jawa barat - kota bekasi,6,0.00,4.74,8.70,0.06,4.34,11.45,0.02,75.19,13.80,86.79,5,
jawa barat - kota depok,6,0.00,2.58,5.47,0.00,19.18,11.30,0.03,74.62,12.30,85.07,10,
jawa barat - kota cimahi,6,0.00,5.35,15.53,0.00,7.66,11.02,0.01,74.21,19.90,80.08,35,
jawa barat - kota tasikmalaya,4,0.00,13.13,31.34,0.18,24.16,9.75,0.06,72.34,28.90,55.38,92,
jawa barat - kota banjar,5,0.00,7.11,33.82,0.00,15.51,8.71,0.11,71.19,23.90,61.91,84,
jawa tengah - cilacap,6,0.44,11.67,30.17,0.15,26.03,7.30,0.54,73.90,17.90,83.23,66,
jawa tengah - banyumas,6,1.03,13.66,24.71,0.00,27.59,7.91,0.23,73.80,21.60,79.02,157,
jawa tengah - purbalingga,6,0.94,16.24,19.94,0.00,25.93,7.54,0.29,73.21,16.80,79.25,152,
jawa tengah - banjarnegara,6,0.89,16.23,21.78,0.13,27.87,6.99,0.50,74.28,23.30,78.61,167,
jawa tengah - kebumen,6,0.57,17.83,28.18,0.33,32.66,7.41,0.34,73.55,15.90,79.29,150,
jawa tengah - purworejo,6,0.50,12.40,27.88,0.08,22.56,8.36,0.49,74.87,15.70,84.48,44,
jawa tengah - wonosobo,6,0.88,17.67,26.52,0.07,13.35,7.10,0.62,71.94,28.10,78.42,170,
jawa tengah - magelang,6,1.13,11.91,24.25,0.00,24.14,7.69,0.59,73.88,22.30,79.44,146,
jawa tengah - boyolali,6,0.47,10.62,17.76,0.00,27.05,7.74,0.39,76.03,20.70,85.26,34,
jawa tengah - klaten,6,0.54,13.49,27.06,0.00,29.47,9.03,0.17,76.86,15.80,84.13,49,
jawa tengah - sukoharjo,6,0.49,8.23,13.73,0.17,20.58,9.42,0.12,77.73,20.00,89.11,4,
jawa tengah - wonogiri,6,0.17,11.55,16.17,0.00,21.57,7.15,0.71,76.28,14.00,88.15,5,
jawa tengah - karanganyar,6,0.52,10.68,19.01,0.00,20.59,8.61,0.33,77.55,16.20,87.39,8,
jawa tengah - sragen,6,0.22,13.83,21.76,0.00,11.55,7.52,0.29,75.79,18.80,87.53,7,
jawa tengah - grobogan,6,0.23,12.74,34.16,0.19,10.71,7.24,0.57,74.84,9.60,87.27,10,
jawa tengah - blora,6,0.23,12.39,35.85,0.16,3.27,7.25,0.83,74.51,21.50,87.03,13,
jawa tengah - rembang,6,0.36,15.80,30.00,0.00,11.18,7.54,0.49,74.61,18.70,84.73,39,
jawa tengah - pati,6,0.27,10.21,21.00,0.00,16.88,7.72,0.40,76.27,20.60,88.01,6,
jawa tengah - kudus,6,0.80,7.60,10.82,0.00,20.59,8.88,0.13,76.68,17.60,87.21,11,
jawa tengah - jepara,6,0.64,7.44,20.30,0.00,26.57,8.14,0.39,75.91,25.00,85.06,35,
jawa tengah - demak,6,0.31,12.92,25.79,0.00,5.87,8.23,0.40,75.46,25.50,87.38,9,
jawa tengah - semarang,6,1.03,7.82,15.86,0.00,10.25,8.44,0.40,75.79,16.40,86.31,17,
jawa tengah - temanggung,6,1.56,10.17,14.25,0.00,18.22,7.40,0.47,75.64,20.50,80.08,135,
jawa tengah - kendal,6,0.67,10.24,20.61,0.00,16.66,7.58,0.42,74.48,21.20,84.69,40,
jawa tengah - batang,6,0.78,9.68,28.43,0.00,18.00,7.14,0.44,74.74,21.70,83.19,69,
